learningRate: 0.001
maxMemory: 100000
gamma: 0.99
batchSize: 64
epsilon: 1.0
epsilonDecayRate: 0.995
epsilonMin: 0.01
hidden_nodes: 128
ddqn_enable: True
tau: 0.01
train: True

2025-11-27 20:08:47.578811: epoch: 1 | totalReward = -5.000000000000002 | epsilon = 1.0 | pipes passed = 0
2025-11-27 20:08:49.270365: epoch: 2 | totalReward = -5.000000000000002 | epsilon = 0.995 | pipes passed = 0
2025-11-27 20:08:50.894222: epoch: 3 | totalReward = -7.299999999999999 | epsilon = 0.990025 | pipes passed = 0
2025-11-27 20:08:54.135990: epoch: 4 | totalReward = 6.199999999999996 | epsilon = 0.985074875 | pipes passed = 1
2025-11-27 20:08:55.785504: epoch: 5 | totalReward = -5.100000000000001 | epsilon = 0.9801495006250001 | pipes passed = 0
2025-11-27 20:08:58.950849: epoch: 6 | totalReward = 24.200000000000045 | epsilon = 0.9752487531218751 | pipes passed = 2
2025-11-27 20:09:00.636369: epoch: 7 | totalReward = -5.000000000000002 | epsilon = 0.9703725093562657 | pipes passed = 0
2025-11-27 20:09:02.548996: epoch: 8 | totalReward = 5.599999999999996 | epsilon = 0.9655206468094844 | pipes passed = 1
2025-11-27 20:09:04.234485: epoch: 9 | totalReward = -5.000000000000002 | epsilon = 0.960693043575437 | pipes passed = 0
2025-11-27 20:09:05.916983: epoch: 10 | totalReward = -5.000000000000002 | epsilon = 0.9558895783575597 | pipes passed = 0
2025-11-27 20:09:07.072003: epoch: 11 | totalReward = -6.599999999999998 | epsilon = 0.9511101304657719 | pipes passed = 0
2025-11-27 20:09:08.690212: epoch: 12 | totalReward = -5.200000000000001 | epsilon = 0.946354579813443 | pipes passed = 0
2025-11-27 20:09:10.404808: epoch: 13 | totalReward = -4.900000000000002 | epsilon = 0.9416228069143757 | pipes passed = 0
2025-11-27 20:09:13.476667: epoch: 14 | totalReward = 9.100000000000037 | epsilon = 0.9369146928798039 | pipes passed = 1
2025-11-27 20:09:15.156823: epoch: 15 | totalReward = -5.000000000000002 | epsilon = 0.9322301194154049 | pipes passed = 0
2025-11-27 20:09:16.840808: epoch: 16 | totalReward = -5.000000000000002 | epsilon = 0.9275689688183278 | pipes passed = 0
2025-11-27 20:09:18.126774: epoch: 17 | totalReward = -6.1999999999999975 | epsilon = 0.9229311239742362 | pipes passed = 0
2025-11-27 20:09:19.810290: epoch: 18 | totalReward = -5.000000000000002 | epsilon = 0.918316468354365 | pipes passed = 0
2025-11-27 20:09:21.362725: epoch: 19 | totalReward = -5.4 | epsilon = 0.9137248860125932 | pipes passed = 0
2025-11-27 20:09:22.516067: epoch: 20 | totalReward = -6.599999999999998 | epsilon = 0.9091562615825302 | pipes passed = 0
2025-11-27 20:09:24.200056: epoch: 21 | totalReward = -5.000000000000002 | epsilon = 0.9046104802746175 | pipes passed = 0
2025-11-27 20:09:26.047084: epoch: 22 | totalReward = -4.5000000000000036 | epsilon = 0.9000874278732445 | pipes passed = 0
2025-11-27 20:09:27.202405: epoch: 23 | totalReward = -6.599999999999998 | epsilon = 0.8955869907338783 | pipes passed = 0
2025-11-27 20:09:27.861281: epoch: 24 | totalReward = -8.1 | epsilon = 0.8911090557802088 | pipes passed = 0
2025-11-27 20:09:29.545175: epoch: 25 | totalReward = -5.000000000000002 | epsilon = 0.8866535105013078 | pipes passed = 0
2025-11-27 20:09:31.227785: epoch: 26 | totalReward = -5.000000000000002 | epsilon = 0.8822202429488013 | pipes passed = 0
2025-11-27 20:09:34.294918: epoch: 27 | totalReward = 14.000000000000046 | epsilon = 0.8778091417340573 | pipes passed = 1
