learningRate: 0.0003
maxMemory: 50000
gamma: 0.99
batchSize: 64
epsilon: 0.95
epsilonDecayRate: 0.999
epsilonMin: 0.05
hidden_nodes: 128
ddqn_enable: True
tau: 0.005
train: True

2025-11-28 10:29:40.685825: epoch: 1 | totalReward = 40.0 | epsilon = 0.95 | pipes passed = 0
2025-11-28 10:29:42.573268: epoch: 2 | totalReward = 196.0 | epsilon = 0.95 | pipes passed = 1
2025-11-28 10:29:44.806824: epoch: 3 | totalReward = 40.0 | epsilon = 0.94905 | pipes passed = 0
2025-11-28 10:29:48.305650: epoch: 4 | totalReward = 234.0 | epsilon = 0.94905 | pipes passed = 1
2025-11-28 10:29:49.628104: epoch: 5 | totalReward = 29.0 | epsilon = 0.9481009499999999 | pipes passed = 0
2025-11-28 10:29:51.335960: epoch: 6 | totalReward = 69.0 | epsilon = 0.9481009499999999 | pipes passed = 0
2025-11-28 10:29:53.019076: epoch: 7 | totalReward = 40.0 | epsilon = 0.94715284905 | pipes passed = 0
2025-11-28 10:29:54.700016: epoch: 8 | totalReward = 80.0 | epsilon = 0.94715284905 | pipes passed = 0
2025-11-28 10:29:56.382053: epoch: 9 | totalReward = 40.0 | epsilon = 0.94620569620095 | pipes passed = 0
2025-11-28 10:29:58.070580: epoch: 10 | totalReward = 80.0 | epsilon = 0.94620569620095 | pipes passed = 0
2025-11-28 10:29:59.756086: epoch: 11 | totalReward = 40.0 | epsilon = 0.945259490504749 | pipes passed = 0
2025-11-28 10:30:01.433765: epoch: 12 | totalReward = 80.0 | epsilon = 0.945259490504749 | pipes passed = 0
2025-11-28 10:30:03.119195: epoch: 13 | totalReward = 40.0 | epsilon = 0.9443142310142443 | pipes passed = 0
2025-11-28 10:30:04.804135: epoch: 14 | totalReward = 80.0 | epsilon = 0.9443142310142443 | pipes passed = 0
2025-11-28 10:30:06.753879: epoch: 15 | totalReward = 147.0 | epsilon = 0.94336991678323 | pipes passed = 1
2025-11-28 10:30:08.438058: epoch: 16 | totalReward = 187.0 | epsilon = 0.94336991678323 | pipes passed = 0
2025-11-28 10:30:11.509204: epoch: 17 | totalReward = 181.0 | epsilon = 0.9424265468664468 | pipes passed = 1
2025-11-28 10:30:13.194902: epoch: 18 | totalReward = 221.0 | epsilon = 0.9424265468664468 | pipes passed = 0
